case_id;input_type;input_ref;expected_top1_mtr;expected_top1_ksm;expected_top3_mtr;expected_status;expected_warnings;expected_clarification;expert_comment
Q001;query;Q001;MTR-0013;KSM-0013;MTR-0013;соответствует;;;Точный код должен давать точную позицию первой
Q002;query;Q002;MTR-0008;KSM-0008;MTR-0008;соответствует;;;Точный код КСМ должен найти связанную позицию МТР
Q003;query;Q003;MTR-0001;KSM-0001;MTR-0001|MTR-0012|MTR-0013;соответствует;;;Базовые параметры полностью совпадают с MTR-0001
Q004;query;Q004;MTR-0008;KSM-0008;MTR-0008|MTR-0009;соответствует;;;PN160 должен быть выше PN100
Q005;query;Q005;MTR-0007;KSM-0007;MTR-0007;соответствует;;;Тип DN и PN совпадают
Q006;query;Q006;MTR-0006;KSM-0006;MTR-0006;соответствует;;;Труба не должна смешиваться с отводами
Q007;query;Q007;MTR-0013;KSM-0013;MTR-0013|MTR-0001|MTR-0012;соответствует;;;У MTR-0013 подтверждены H2S и внутреннее покрытие
Q008;query;Q008;MTR-0010;KSM-0010;MTR-0010;соответствует;;;Должны совпасть D1 D2 стенка PN и ГОСТ
Q009;query;Q009;MTR-0004;KSM-0004;MTR-0004|MTR-0005;соответствует;;;У MTR-0004 совпадает угол 90
Q010;document;documents/passport_013_oksh90_h2s.md;MTR-0013;KSM-0013;MTR-0013|MTR-0001|MTR-0012;соответствует;;;Паспорт содержит подтверждение H2S и покрытий
Q011;document;documents/ocr/ocr_noisy_reducer.txt;MTR-0010;KSM-0010;MTR-0010;требует проверки;OCR содержит неоднозначные символы;;Нормализовать I и 1 только с учетом контекста
Q012;document;documents/passport_016_incomplete.md;;;;нет данных;;Уточните угол толщину стенки PN и класс прочности;Не выбирать единственный аналог без ключевых параметров
Q013;query;Q013;MTR-0012;KSM-0012;MTR-0012|MTR-0001|MTR-0013;требует проверки;Класс прочности К52 вместо К48;;Различие показать эксперту без автоматического утверждения
Q014;query;Q014;MTR-0009;KSM-0009;MTR-0009;требует проверки;PN100 ниже требуемого PN160;;Кандидат не должен считаться прямым аналогом
Q015;query;Q015;MTR-0014;KSM-0014;MTR-0014;требует проверки;Толщина стенки 8 вместо 10;;Толщина должна быть явно показана как расхождение
Q016;query;Q016;MTR-0015;KSM-0015;MTR-0015;низкая релевантность;DN219 вместо DN159;;Несовпадение основного размера существенно
Q017;query;Q017;MTR-0002;KSM-0002;MTR-0002;требует проверки;Угол 45 вместо 90;;Не считать прямым аналогом
Q018;query;Q018;MTR-0013;KSM-0013;MTR-0013;потенциальный аналог;Дополнительные свойства не гарантируют допустимость замены;;Проверить применимость исполнения и нормативный документ
Q019;query;Q019;;;;нет данных;;Уточните угол толщину стенки PN материал и класс прочности;Можно показать широкий список только после уточнения или с низкой уверенностью
Q020;query;Q020;;;;нет данных;;Уточните тип заглушки DN PN материал и рабочую среду;Слишком мало данных для надежного ранжирования
Q021;query;Q021;MTR-0010;KSM-0010;MTR-0010;требует проверки;Не указаны PN материал и стандарт;Уточните PN материал и требуемый ГОСТ или ТУ;Размеры позволяют предложить кандидата но данных недостаточно
Q022;query;Q022;MTR-0002;KSM-0002;MTR-0002;требует проверки;Составная замена 2 x 45 не является прямым аналогом;;Показать количество элементов и отправить эксперту
Q023;query;Q023;MTR-0003;KSM-0003;MTR-0003;требует проверки;Составная замена 3 x 30 не является прямым аналогом;;Показать количество элементов и отправить эксперту
Q024;query;Q024;MTR-0001;KSM-0001;MTR-0001;требует проверки;Внутреннее покрытие не подтверждено;;Не отклонять автоматически и сослаться на страницу паспорта
Q025;query;Q025;MTR-0001;KSM-0001;MTR-0001;требует проверки;Пригодность к H2S не подтверждена;;Проверить паспорт сертификат или ЛНД
Q026;query;Q026;MTR-0013;KSM-0013;MTR-0013|MTR-0001|MTR-0012;требует проверки;В каталоге нет кандидата с подтвержденной стойкостью к CO2;;Система не должна заявлять полное соответствие
Q027;query;Q027;MTR-0009;KSM-0009;MTR-0009|MTR-0008;соответствует;;;PN100 должен совпасть с MTR-0009
Q028;query;Q028;MTR-0008;KSM-0008;MTR-0008|MTR-0009;соответствует;;;PN160 должен совпасть с MTR-0008
Q029;query;Q029;MTR-0012;KSM-0012;MTR-0012|MTR-0001|MTR-0013;соответствует;;;К52 должен отличать MTR-0012 от К48
Q030;query;Q030;MTR-0001;KSM-0001;MTR-0001|MTR-0012|MTR-0013;потенциальный аналог;Не указаны стенка PN материал и класс прочности;Уточните толщину стенки PN материал и класс прочности;Семантика должна распознать отвод 90 DN159

